technique_id,index
T1059.001,0
T1105,1
T1027,2
T1574.001,3
T1053.005,4
T1036.005,5
T1059,6
T1059.003,7
T1112,8
T1090,9
T1095,10
T1047,11
T1204,12
T1053,13
T1055,14
T1059.004,15
T1564.003,16
T1036,17
T1087,18
T1562.001,19
T1053.003,20
T1546.003,21
T1070.006,22
T1106,23
T1056.004,24
T1569.002,25
T1218.011,26
T1565.001,27
T1091,28
T1055.012,29
T1070.004,30
T1218.005,31
T1176,32
T1547.001,33
T1564.001,34
T1546.008,35
T1057,36
T1021.002,37
T1021.006,38
T1560,39
T1548.002,40
T1074.001,41
T1571,42
T1036.003,43
T1543.003,44
T1071.001,45
T1485,46
T1568.001,47
T1003.001,48
T1546.012,49
T1218,50
T1140,51
T1071,52
T1218.010,53
T1547.004,54
T1518.001,55
T1018,56
T1132.001,57
T1132,58
T1001,59
T1552.001,60
T1016,61
T1548,62
T1569,63
T1211,64
T1059.005,65
T1102.002,66
T1574.002,67
T1087.002,68
T1069.002,69
T1564.004,70
T1490,71
T1040,72
T1496,73
T1083,74
T1620,75
T1059.007,76
T1218.007,77
T1570,78
T1036.004,79
T1003,80
T1562.004,81
T1003.003,82
T1204.002,83
T1056,84
T1489,85
T1027.006,86
T1553.002,87
T1074,88
T1012,89
T1218.003,90
T1059.002,91
T1566.001,92
T1127.001,93
T1021,94
T1203,95
T1055.001,96
T1078,97
T1098,98
T1059.006,99
T1531,100
T1078.001,101
T1219,102
T1562,103
T1197,104
T1003.008,105
T1005,106
T1037,107
T1547.009,108
T1555.003,109
T1543.002,110
T1216.001,111
T1553.001,112
T1070.003,113
T1056.002,114
T1033,115
T1046,116
T1120,117
T1135,118
T1185,119
T1048,120
T1055.004,121
T1218.004,122
T1548.003,123
T1546.011,124
T1220,125
T1505.003,126
T1558.003,127
T1110,128
T1566,129
T1190,130
T1134.003,131
T1056.001,132
T1572,133
T1560.001,134
T1113,135
T1070,136
T1555.001,137
T1569.001,138
T1543.004,139
T1021.001,140
T1218.001,141
T1482,142
T1202,143
T1090.001,144
T1543.001,145
T1082,146
T1102,147
T1546.001,148
T1119,149
T1041,150
T1127,151
T1055.003,152
T1552.003,153
T1555,154
T1218.002,155
T1078.002,156
T1104,157
T1078.004,158
T1003.002,159
T1548.001,160
T1595.002,161
T1218.009,162
T1566.002,163
T1069,164
T1542.003,165
T1574.011,166
T1546.007,167
T1222,168
T1558,169
T1080,170
T1562.006,171
T1068,172
T1553.005,173
T1529,174
T1037.005,175
T1195,176
T1584,177
T1567.002,178
T1543,179
T1114,180
T1555.004,181
T1562.002,182
T1115,183
T1027.005,184
T1129,185
T1552.004,186
T1547,187
T1486,188
T1027.004,189
T1595.001,190
T1048.003,191
T1003.005,192
T1014,193
T1573,194
T1098.004,195
T1189,196
T1505.002,197
T1564,198
T1114.003,199
T1027.002,200
T1134.001,201
T1573.002,202
T1537,203
T1573.001,204
T1008,205
T1003.006,206
T1137,207
T1559.002,208
T1552.005,209
T1021.004,210
T1586.002,211
T1586,212
T1137.001,213
T1003.004,214
T1587.001,215
T1048.002,216
T1563.002,217
T1555.005,218
T1598,219
T1049,220
T1546,221
T1030,222
T1552.002,223
T1547.005,224
T1559.001,225
T1568.002,226
T1497,227
T1087.001,228
T1071.002,229
T1649,230
T1558.002,231
T1558.001,232
T1207,233
T1497.001,234
T1125,235
T1588.006,236
T1134.005,237
T1110.001,238
T1055.002,239
T1566.003,240
T1550.002,241
T1564.002,242
T1552.006,243
T1583.002,244
T1124,245
T1221,246
T1036.006,247
T1574.008,248
T1546.015,249
T1037.001,250
T1574.012,251
T1546.004,252
T1210,253
T1222.001,254
T1071.003,255
T1132.002,256
T1036.002,257
T1589.001,258
T1071.004,259
T1134.004,260
T1552,261
T1204.001,262
T1592,263
T1592.004,264
T1039,265
T1561,266
T1561.001,267
T1484,268
T1484.001,269
T1222.002,270
T1547.006,271
T1102.003,272
T1195.002,273
T1020,274
T1102.001,275
T1036.007,276
T1574,277
T1568,278
T1567.001,279
T1553,280
T1567,281
T1595.003,282
T1595,283
T1027.001,284
T1027.003,285
T1555.002,286
T1608.001,287
